Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPARTMENT OF TRANSPORTATION,1,ASSOCIATE PROJECT MANAGER,2026-01-04,"1) Four years of full-time satisfactory experience in civil engineering work. A master’s degree in civil engineering from an accredited college may be substituted for one year of civil engineering experience. To be appointed to a Civil Engineering position in Bridges, candidate must possess one year of civil engineering experience in bridge design, bridge construction, bridge maintenance, or bridge inspections.   2) Have strong background in AutoCAD, Acrobat and MS office suite.   3) Ability to drive city owned vehicle. Preference will be given to those with a motor vehicle driver’s license valid in the state of New York which may be required for certain assignments. If required, this license must be maintained for duration of appointment.   4.) Must be organized and be able to effectively and professionally communicate.   5.) Must be able to compose formal letters and emails",104720,141970,123345
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2025-12-10,"•	Excellent verbal, written and professional interpersonal communication skills; •	Good computer skills; Computer literate (MS Word, Excel & Outlook); •	Ability to work in a fast paced environment; Pay strict attention to detail; •	Complete assignments within set deadline; •	Able to work independently, within a team, and with supervision. •	Language skills a plus",46503,53479,49991
CONSUMER AND WORKER PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-14,"•	Management experience with demonstrated ability to develop and motivate staff with both goal-oriented and team-oriented approaches; •	Strong organizational and analytical;  •	Experience in budgeting, purchasing, administrative management, or technological record or project management; •	Experience in training, developing protocols and policies, and assessing operational efficiency;   •	Attention to detail, excel in time management and project follow through; •	Excellent written, oral, and interpersonal skills; and •	Proficiency in Microsoft Word, Excel, Outlook, and PowerPoint.",61656,70904,66280
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2026-01-14,"• 	Computer literate (MS Word, Excel & Outlook); • 	Detail oriented; • 	Professional demeanor; • 	Strong oral and communication skills; • 	Organized; • 	Self-motivated; • 	Fluency in a language in addition to English a plus; • 	Respectful and professional demeanor in diverse contexts.",46503,55821,51162
HOUSING PRESERVATION & DVLPMNT,2,COMMUNITY COORDINATOR,2026-01-10,,62868,87500,75184
DEPT OF DESIGN & CONSTRUCTION,1,CONSTRUCTION PROJECT MANAGER,2025-12-30,"Preference will be given to candidates with a minimum of 3 years of relevant design and construction experience pertaining to accessibility (not Web Accessibility). The ability to demonstrate expertise in both the 2010 ADA Standards and Chapter 11 of the NYC Building Code is highly desirable. Candidates should have the ability to communicate highly specialized and technical information to a variety of audiences, both in writing and verbally. Candidates should be able to work in both a collaborative environment and independently, interchangeably.",83743,105000,94372
DEPARTMENT OF TRANSPORTATION,1,CONSTRUCTION PROJECT MANAGER,2025-12-13,Ability to perform inspections in all weather conditions which will include nights and weekends.  A strong background in AutoCAD and MS office suite are required. Ability to drive city owned vehicle. Preference will be given to those with a Motor Vehicle Driver’s License valid in the State of New York. this license may be required for certain assignments. This license must be maintained for duration of this appointment.,78740,114033,96386
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2025-12-03,"• 	Computer literate (MS Word, Excel & Outlook); • 	Detail oriented; • 	Professional demeanor; • 	Strong oral and communication skills; • 	Organized; • 	Self-motivated; • 	Fluency in a language in addition to English a plus; • 	Respectful and professional demeanor in diverse contexts",38173,45149,41661
CONSUMER AND WORKER PROTECTION,1,AGENCY ATTORNEY,2025-12-05,"• Litigation experience; • Demonstrated excellent verbal, written, interpersonal, analytical, problem-solving and time management skills; • Proficient in conducting legal research and undertaking factual investigations, including reviewing documents and conducting witness interviews and depositions; • Demonstrated excellent legal research, writing skills and negotiation skills; • Comfort with data-driven analysis and strategic planning; • Able to effectively interact with multi-functional teams comprised of attorney and non-attorney staff; • Able to effectively manage multiple priorities with competing deadlines; • References that can confirm legal skills.",83000,95450,89225
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,2026-01-02,,75443,201607,138525
DEPARTMENT FOR THE AGING,1,CITY RESEARCH SCIENTIST,2025-11-12,"Strong coding and/or programming platform knowledge preferred. Use of data management software such as SQL, Tableau, Python, etc. a plus.",72190,79410,75800
DEPARTMENT OF CITY PLANNING,1,PRINCIPAL ADMINISTRATIVE ASSOC,2025-12-16,"- Proven experience as an Executive Assistant handling all administrative aspects of supporting a senior leader. - Exceptional organizational skills and impeccable attention to detail - Ability to maintain a high level of integrity and discretion in handling confidential information  - Extensive experience with Microsoft Office software, including Word, Excel, Share Point, and Outlook.  - Strong verbal/written communication and interpersonal skills. - Ability to react with appropriate levels of urgency to situations and events that require quick responses. - Make appropriate, informed decisions regarding priorities and available time. - Excellent customer service skills. - Pleasant phone manner and demonstrated ability to build professional rapport with the public, other agencies and internal staff.  - Ability to work well as a team member.",70000,80000,75000
DEPARTMENT OF TRANSPORTATION,1,CONSTRUCTION PROJECT MANAGER,2026-01-15,"•	Experience preparing monthly project schedule status reports for management; •	Working knowledge of schedule delay analysis, time impact analysis, and overall project progress evaluation; •	Experience with construction project scheduling and analysis; •	Ability to work under limited supervision and manage multiple assignments within time constraints; •	Demonstrated initiative, responsibility, flexibility, and strong attention to detail; •	Strong organizational, writing, and communication skills; •	Proficiency in Microsoft Office, including Excel, Access, PowerPoint, and Project; •	Proficiency in Oracle Primavera P6/P3; •	Ability to drive a motor vehicle, if required.",78740,114033,96386
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-04-14,,50128,57637,53882
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-12-01,,62296,71635,66966
POLICE DEPARTMENT,1,CONFIDENTIAL STRATEGY PLANNER,2026-01-21,"1. Be able to work in a fast-paced work environment 2. Think creatively, embrace new approaches, and pioneer innovative solutions to intricate problems 3. Experience in project management with large, complex organizations and mediating among groups with competing perspectives 4. Strong written, verbal, and interpersonal communication and presentation skills 5. Experience working on multiple tasks and assignments while maintaining attention to detail, and the ability to be flexible with changing demands 6. Strong proficiency with Mircosoft Office Suite, including Excel, PowerPoint, and Project.",63902,117153,90528
DISTRICT ATTORNEY RICHMOND COU,1,SPECIAL ASSISTANT TO THE DISTR,2026-01-23,"Preferred Skills •	Prior experience working in a budget related function for a New York City agency. •	Thorough knowledge of the New York City Financial Management System (FMS), Budget, Revenue and Procurement. •	Strong analytical, interpersonal, problem-solving, oral and written communications skills. •	Moderate to advanced Excel spreadsheet skill level.",125000,130000,127500
HRA/DEPT OF SOCIAL SERVICES,2,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-12,,66062,75971,71016
DEPT OF ENVIRONMENT PROTECTION,3,CITY SEASONAL AIDE,2026-01-29,"- Trades or related work experience, military, vocational/trade school or general work experience a plus.  - Ability to communicate, effective interpersonal skills.   - Willingness to accept the obligation of apprenticeship, including completion of related instruction and on the job training requirements.   - Ability to problem solve and comprehend both written and verbal directions.   - Interest and motivation.",39811,46738,43274
DEPT OF DESIGN & CONSTRUCTION,2,PROJECT MANAGER,2026-01-16,"Candidates should have the ability to manage construction managers; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills; and should be attentive to details.",66330,76279,71304
DEPT OF DESIGN & CONSTRUCTION,1,CLERICAL ASSOCIATE,2025-12-18,"Candidates should be well versed in technical applications Microsoft Applications (Word, Outlook, Teams, Excel, PowerPoint) and SaaS Applications ( SmartRecruiters, Workday, Salesforce, Slack, etc.) Also, soft skills such as communication, proven teamwork, emotional intelligence problem-solving, critical thinking, adaptability, and time management are highly desired.",42288,61477,51882
CAMPAIGN FINANCE BOARD,1,ANALYST CFB AL 2&3 ONLY,2025-12-18,,80000,95000,87500
DEPARTMENT OF TRANSPORTATION,1,PROCUREMENT ANALYST,2026-01-15,"Knowledge of Procurement Policy Board rules (PPB) Experience with FMS and Passport Excellent oral and written communications skills Proficiency in Microsoft Office Suite applications, Specifically Microsoft Excel; Very good interpersonal and organizational skills;",67541,113536,90538
